Error: Line: 12, Position 10: "The required attribute 'ref' is missing." 
Error: Line: 10683, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10694, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10705, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10716, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10727, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10738, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10749, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10760, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10771, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10782, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10793, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

